match_id,throw,comeback,loss,first_blood_time,patch
8590723458,0.0,,24758.0,23,58
8590666286,4941.0,,9919.0,223,58
8584493873,640.0,,23865.0,179,58
8584468848,,3158.0,,84,58
8584411768,,-508.0,,0,58
8584357150,251.0,,46380.0,128,58
8584303494,,105.0,,260,58
8584248639,,0.0,,129,58
8584197263,1854.0,,16645.0,12,58
8584125715,6738.0,,11437.0,243,58
8584089737,3117.0,,17157.0,201,58
8584006279,,2397.0,,343,58
8583955565,1577.0,,30551.0,179,58
8583867438,,10111.0,,143,58
8583851046,-920.0,,21725.0,0,58
8583743794,,0.0,,7,58
8583736672,1086.0,,16316.0,27,58
8582763921,,3640.0,,240,58
8582735416,1725.0,,14576.0,200,58
8582664350,277.0,,8569.0,167,58
8582638335,,2605.0,,23,58
8582533736,1373.0,,19546.0,32,58
8582522954,,6634.0,,95,58
8582384052,,532.0,,245,58
8582378933,9435.0,,22027.0,174,58
8582274879,707.0,,17917.0,94,58
8582254158,1804.0,,19538.0,152,58
8582157073,-30.0,,12851.0,14,58
8582154770,646.0,,27860.0,119,58
8581024477,,4284.0,,243,58
8580969080,370.0,,12357.0,11,58
8580879900,6639.0,,6026.0,0,58
8580874181,,144.0,,184,58
8580797427,414.0,,9813.0,166,58
8580769851,194.0,,28696.0,273,58
8580698876,,384.0,,198,58
8580673312,,2788.0,,4,58
8580572882,308.0,,23987.0,432,58
8580543038,,4897.0,,161,58
8580434959,,3224.0,,133,58
8580433201,,144.0,,27,58
8579573711,1752.0,,4171.0,14,58
8579516072,,0.0,,153,58
8579512829,,-553.0,,0,58
8579434949,,808.0,,0,58
8579402680,,154.0,,111,58
8579345535,1138.0,,30808.0,221,58
8579321866,422.0,,26866.0,96,58
8579245952,361.0,,11344.0,41,58
8579211061,,6001.0,,301,58
8579159439,,52.0,,221,58
8579084900,,0.0,,116,58
8579054497,,1510.0,,0,58
8578971938,402.0,,11612.0,122,58
8578965230,0.0,,21241.0,69,58
8578108612,,1600.0,,22,58
8578065966,5571.0,,22449.0,111,58
8578012189,,619.0,,71,58
8577982630,0.0,,30266.0,343,58
8577926044,,902.0,,255,58
8577907652,,1353.0,,14,58
8577844080,,73.0,,348,58
8577833540,,2800.0,,95,58
8577764833,624.0,,16220.0,0,58
8577745816,,0.0,,382,58
8577653482,,2225.0,,68,58
8577626069,,672.0,,173,58
